response,response_label,unit,contrast,cover_value,cover_label,n_runs,median,lower,upper
Evapo,ET,mm,PF - SF[i],0.5,50% cover,22,0,-0.3324673949793,0.515209019643748
Evapo,ET,mm,PF - SF[i],0.5,50% cover,23,-0.0123897704302003,-0.271922583488301,0.402303600863899
Evapo,ET,mm,PF - SF[i],0.5,50% cover,24,0,-0.3324673949793,0.291288268461328
Evapo,ET,mm,PF - SF[i],0.5,50% cover,25,0.0123897704302003,-0.271922583488301,0.402303600863899
Evapo,ET,mm,PF - SF[i],0.5,50% cover,26,0,-0.2596224708624,0.2855467107387
Evapo,ET,mm,PF - SF[i],0.5,50% cover,27,0.0123897704302003,-0.247322358236499,0.168789820613501
Evapo,ET,mm,PF - SF[i],0.5,50% cover,28,0,-0.12985606433335,0.0905897955218506
Evapo,ET,mm,PF - SF[i],0.5,50% cover,29,-0.0123897704302003,-0.0123897704302003,0.0123897704302003
Evapo,ET,mm,PF - SF[i],0.5,50% cover,30,0,0,0
Evapo,ET,mm,PF - SF[i],0.75,75% cover,2,-0.832497037329858,-6.07986504923306,4.3229335663876
Evapo,ET,mm,PF - SF[i],0.75,75% cover,3,-0.131499907945795,-5.97911207859718,3.84127509833611
Evapo,ET,mm,PF - SF[i],0.75,75% cover,4,-0.753941227214881,-4.82226105861888,3.1024332659592
Evapo,ET,mm,PF - SF[i],0.75,75% cover,5,-0.131499907945795,-4.76892843616326,3.5456772053148
Evapo,ET,mm,PF - SF[i],0.75,75% cover,6,-0.613495137557784,-4.50608630584929,2.70532743940214
Evapo,ET,mm,PF - SF[i],0.75,75% cover,7,0.131499907945809,-4.12254097770538,3.5456772053148
Evapo,ET,mm,PF - SF[i],0.75,75% cover,8,-0.64671074225744,-4.10448714246243,2.8226805601125
Evapo,ET,mm,PF - SF[i],0.75,75% cover,9,0.131499907945809,-4.10196718335329,2.65251218271341
Evapo,ET,mm,PF - SF[i],0.75,75% cover,10,0,-3.3617662818594,2.19134008916436
Evapo,ET,mm,PF - SF[i],0.75,75% cover,11,0.131499907945809,-3.85644499204523,1.83078981759141
Evapo,ET,mm,PF - SF[i],0.75,75% cover,12,0,-3.23936682912656,1.37196512828275
Evapo,ET,mm,PF - SF[i],0.75,75% cover,13,0.131499907945809,-3.85015295199699,1.83078981759141
Evapo,ET,mm,PF - SF[i],0.75,75% cover,14,0,-3.28071242918709,1.36052189350852
